Event	ID	Name			Wwise Object Path	Notes
	65214797	knight_happy			\Default Work Unit\characters\knight\dialogue\knight_happy	
	243093414	princess_crazy			\Default Work Unit\characters\princess\princess_crazy	
	243922131	princess_super_happy			\Default Work Unit\characters\princess\princess_super_happy	
	345316820	quest_finished_positive_rep			\Default Work Unit\ui\quest_finished_positive_rep	
	347213686	knight_overreact_perfect			\Default Work Unit\characters\knight\combat\knight_overreact_perfect	
	452147236	dialogue_b_icon_pop			\Default Work Unit\ui\dialogue_b_icon_pop	
	521065176	ranged_walk			\Default Work Unit\characters\enemies\ranged (big troll type)\ranged_walk	
	523500532	peasant_happy			\Default Work Unit\characters\peasant\peasant_happy	
	533425982	peasant_scared			\Default Work Unit\characters\peasant\peasant_scared	
	606936541	sword_funny			\Default Work Unit\characters\talking_sword\sword_funny	
	712766695	ranged_aggro			\Default Work Unit\characters\enemies\ranged (big troll type)\ranged_aggro	
	808206829	ranged_throw			\Default Work Unit\characters\enemies\ranged (big troll type)\ranged_throw	
	808353447	ranged_death			\Default Work Unit\characters\enemies\ranged (big troll type)\ranged_death	
	811499618	knight_loose_rep_combo			\Default Work Unit\characters\knight\combat\knight_loose_rep_combo	
	858763478	knight_walk			\Default Work Unit\characters\knight\combat\knight_walk	
	927120996	ranged_attacked			\Default Work Unit\characters\enemies\ranged (big troll type)\ranged_attacked	
	1040073673	princess_whimpy			\Default Work Unit\characters\princess\princess_whimpy	
	1107160974	sword_angry			\Default Work Unit\characters\talking_sword\sword_angry	
	1109250972	ranged_take_out_throwing_object			\Default Work Unit\characters\enemies\ranged (big troll type)\ranged_take_out_throwing_object	
	1126582737	melee_walk			\Default Work Unit\characters\enemies\melee (merman type)\melee_walk	
	1144071286	sword_explanatory			\Default Work Unit\characters\talking_sword\sword_explanatory	
	1194678982	start_hub_ambience			\Default Work Unit\ambience\start_hub_ambience	
	1211663631	knight_taunt			\Default Work Unit\characters\knight\combat\knight_taunt	
	1302570184	melee_death			\Default Work Unit\characters\enemies\melee (merman type)\melee_death	
	1353242594	melee_attack			\Default Work Unit\characters\enemies\melee (merman type)\melee_attack	
	1506181365	suicide_walk			\Default Work Unit\characters\enemies\suicide (goblin type)\suicide_walk	
	1571174434	peasany_neutral			\Default Work Unit\characters\peasant\peasany_neutral	
	1622433389	knight_loose_rep_small			\Default Work Unit\characters\knight\combat\knight_loose_rep_small	
	1662770141	knight_grumpy			\Default Work Unit\characters\knight\dialogue\knight_grumpy	
	1724924593	play_button_pressed			\Default Work Unit\ui\play_button_pressed	
	1755187636	sword_neutral			\Default Work Unit\characters\talking_sword\sword_neutral	
	1977734585	dialogue_a_speech_bubble_pop			\Default Work Unit\ui\dialogue_a_speech_bubble_pop	
	1979443032	knight_angry			\Default Work Unit\characters\knight\dialogue\knight_angry	
	2030745530	princess_super_crazy			\Default Work Unit\characters\princess\princess_super_crazy	
	2094344081	start_world_1_ambience			\Default Work Unit\ambience\start_world_1_ambience	
	2128741919	sword_happy			\Default Work Unit\characters\talking_sword\sword_happy	
	2368097906	knight_neutral			\Default Work Unit\characters\knight\dialogue\knight_neutral	
	2407001957	princess_super_sad			\Default Work Unit\characters\princess\princess_super_sad	
	2546070204	suicide_aggro			\Default Work Unit\characters\enemies\suicide (goblin type)\suicide_aggro	
	2559993417	suicide_taunted			\Default Work Unit\characters\enemies\suicide (goblin type)\suicide_taunted	
	2622170653	melee_taunted			\Default Work Unit\characters\enemies\melee (merman type)\melee_taunted	
	2718181953	knight_overreact_ok			\Default Work Unit\characters\knight\combat\knight_overreact_ok	
	2762792623	quest_initiated			\Default Work Unit\ui\quest_initiated	
	2766539005	melee_attacked			\Default Work Unit\characters\enemies\melee (merman type)\melee_attacked	
	2861092040	peasant_death			\Default Work Unit\characters\peasant\peasant_death	
	2871045976	melee_aggro			\Default Work Unit\characters\enemies\melee (merman type)\melee_aggro	
	2964915621	peasant_crazy			\Default Work Unit\characters\peasant\peasant_crazy	
	2965945301	knight_attack			\Default Work Unit\characters\knight\combat\knight_attack	
	3079006194	suicide_scared			\Default Work Unit\characters\enemies\suicide (goblin type)\suicide_scared	
	3149292963	normal_button_backwards_pressed			\Default Work Unit\ui\normal_button_backwards_pressed	
	3197778154	peasant_sad			\Default Work Unit\characters\peasant\peasant_sad	
	3232260158	ranged_taunted			\Default Work Unit\characters\enemies\ranged (big troll type)\ranged_taunted	
	3399734492	suicide_death			\Default Work Unit\characters\enemies\suicide (goblin type)\suicide_death	
	3407172842	normal_button_forward_pressed			\Default Work Unit\ui\normal_button_forward_pressed	
	3435211054	melee_charge			\Default Work Unit\characters\enemies\melee (merman type)\melee_charge	
	3522226745	quests_finished_negative_rep			\Default Work Unit\ui\quests_finished_negative_rep	
	3567400730	knight_loose_rep_big			\Default Work Unit\characters\knight\combat\knight_loose_rep_big	
	3646683889	suicide_attacked			\Default Work Unit\characters\enemies\suicide (goblin type)\suicide_attacked	
	3648302173	peasant_angry			\Default Work Unit\characters\peasant\peasant_angry	
	3866354088	knight_gain_rep			\Default Work Unit\characters\knight\combat\knight_gain_rep	
	4105479982	knight_overreact_great			\Default Work Unit\characters\knight\combat\knight_overreact_great	
	4177902087	peasant_random			\Default Work Unit\characters\peasant\peasant_random	
	4198655567	world_transition			\Default Work Unit\ui\world_transition	
	4207348505	princess_sad			\Default Work Unit\characters\princess\princess_sad	
	4292061055	princess_happy			\Default Work Unit\characters\princess\princess_happy	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	footsteps			\Default Work Unit\footsteps	

Switch	ID	Name	Switch Group			Notes
	1216965916	stone	footsteps			
	2058049674	wood	footsteps			
	2195636714	dirt	footsteps			
	4248645337	grass	footsteps			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3420249	fishman_death-03	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\fishman_death-03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\melee (merman type)\melee_death\fishman_death-03		228224
	39019231	fishman_getting_hit-02	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\fishman_getting_hit-02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\melee (merman type)\melee_attacked\fishman_getting_hit-02		62652
	47195038	knight_taunt-05	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\knight_taunt-05_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\knight\combat\knight_taunt\knight_taunt-05		131940
	51556018	footsteps dirt	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\footsteps dirt_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\suicide (goblin type)\suicide_footsteps\dirt\footsteps dirt		40544
	64086600	troll_aggro-04	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\troll_aggro-04_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\ranged (big troll type)\ranged_aggro\troll_aggro-04		95448
	77698730	pallet_boots_3	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\pallet_boots_3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\knight\knight_footsteps\knight_footsteps\wood\pallet\pallet_boots_3		34398
	85623998	speech bubble pop	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\pop_1_217BD817.wem		\Actor-Mixer Hierarchy\Default Work Unit\ui\speech bubble pop		57064
	93347152	stone_boots_7	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\stone_boots_7_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\knight\knight_footsteps\knight_footsteps\stone\stone_boots_7		27448
	98881888	grass_boots_9	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\grass_boots_9_BC348562.wem		\Actor-Mixer Hierarchy\Default Work Unit\knight\knight_footsteps\knight_footsteps\grass\grass_boots_9		35384
	104969870	troll_taunted-02	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\troll_taunted-02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\ranged (big troll type)\ranged_taunted\troll_taunted-02		256732
	104982338	stone_boots_3	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\stone_boots_3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\knight\knight_footsteps\knight_footsteps\stone\stone_boots_3		32534
	109268277	suicide mob attacked	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\suicide mob attacked_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\suicide (goblin type)\suicide_attacked\suicide mob attacked		74144
	110540297	troll_getting_hit-01	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\troll_getting_hit-01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\ranged (big troll type)\ranged_attacked\troll_getting_hit-01		63024
	128203552	suicide mob death	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\suicide mob death_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\suicide (goblin type)\suicide_death\suicide mob death		71104
	131012819	armor_rustle_1	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\armor_rustle_1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\knight\knight_footsteps\armor\armor_rustle_1		12474
	132149624	footsteps stone	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\footsteps stone_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\enemies\suicide (goblin type)\suicide_footsteps\stone\footsteps stone		45504
	139371646	knight_taunt-01	C:\Users\nelkj\OneDrive\Dokumenter\Work\DADIU\Graduation Game Team 4\ChivalryIsDead\ChivalryIsDead\wwise project chivalry\.cache\Windows\SFX\knight_taunt-01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\knight\combat\knight_taunt\knight_taunt-01		223756
